ESS112, ENVIRONM & SUSTAIBTY STUDIES 112, Y, EMS, 100115, L, CFA, 050, 050, S, B, Intermediate Undergraduate, 1, 20111219, 150550, CBENJAMIN, X, X, X, , 
HIS845, HISTORY 845 : PUBLIC/VISUAL HIST B, Y, ART, 100223, L, CFA, 000, 000, S, F, Intermediate PG (Non research), 8, 20120702, 125559, CSCHROEDER, A, X, X, , 
HIS846, ISSUES IN MUSEUM & HERIT STUD 846, Y, ART, 100223, L, CFA, 000, 000, S, F, Intermediate PG (Non research), 8, 20120702, 125559, CSCHROEDER, A, X, X, , 
HIS847, HISTORY 847 : SOC HISTORY OF V.O.C, Y, ART, 100223, L, CFA, 000, 000, S, F, Intermediate PG (Non research), 8, 20120702, 125559, CSCHROEDER, A, X, X, , 
HIS848, HISTORY 848:HISTORY OF ANTHRO IN SA, Y, ART, 100223, L, CFA, 000, 000, S, F, Intermediate PG (Non research), 8, 20120702, 125559, CSCHROEDER, A, X, X, , 
HIS901, HISTORY DOCTORAL 901, Y, ART, 100223, H, FA, 000, 000, Y, I, Higher Postgraduate, 9, 20120702, 125559, CSCHROEDER, X, X, X, , 
HIS902, HISTORY DOCTORAL 902, Y, ART, 100223, H, FA, 000, 000, Y, I, Higher Postgraduate, 9, 20120702, 125559, CSCHROEDER, X, X, X, , 
HUM111, HUMANITIES 111 (N), Y, ART, 100223, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 1, 20120702, 125622, CSCHROEDER, X, X, X, , 
HUM121, HUMANITIES 121 (N), Y, ART, 100223, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 1, 20120702, 125622, CSCHROEDER, X, X, X, , 
MHS710, HERITAGE & COLLECTION MAN 411(RIM), Y, ART, 100223, L, CFA, 000, 000, Y, D, Preparatory Postgraduate; PG diploma, 7, 20120702, 145802, CSCHROEDER, A, X, X, , 
MHS711, ISSUES IN MUSEUM & HER STUDIES 401, Y, ART, 100223, L, CFA, 000, 000, Y, D, Preparatory Postgraduate; PG diploma, 7, 20120702, 145802, CSCHROEDER, A, X, X, , 
MHS712, RES HERITAGE MATERIAL 411 (RIM), Y, ART, 100223, L, CFA, 000, 000, Y, D, Preparatory Postgraduate; PG diploma, 7, 20120702, 145802, CSCHROEDER, A, X, X, , 
MHS713, PUBLIC COMMUNICATION 421 (RIM), Y, ART, 100223, L, CFA, 000, 000, Y, D, Preparatory Postgraduate; PG diploma, 7, 20120702, 145802, CSCHROEDER, A, X, X, , 
MHS714, MAN:HERITAGE AGENCIES 421 (RIM), Y, ART, 100223, L, CFA, 000, 000, Y, D, Preparatory Postgraduate; PG diploma, 7, 20120702, 145802, CSCHROEDER, A, X, X, , 
MHS715, CURATORSHIP 411, Y, ART, 100223, L, CFA, 000, 000, Y, D, Preparatory Postgraduate; PG diploma, 7, 20120702, 145802, CSCHROEDER, A, X, X, , 
MHS717, PUBLIC HISTORY & TOURISM 421, Y, ART, 100223, L, CFA, 000, 000, S, D, Preparatory Postgraduate; PG diploma, 7, 20120702, 145802, CSCHROEDER, A, X, X, , 
MHS719, VISUAL HISTORY 411, Y, ART, 100223, L, CFA, 000, 000, S, D, Preparatory Postgraduate; PG diploma, 7, 20120702, 145802, CSCHROEDER, A, X, X, , 
MHS722, CAPITA SELECTA, Y, ART, 100223, L, CFA, 000, 000, Y, D, Preparatory Postgraduate; PG diploma, 7, 20120702, 145802, CSCHROEDER, A, X, X, , 
MHS723, CAPITA SELECTA 723, Y, ART, 100223, L, CFA, 000, 000, Y, D, Preparatory Postgraduate; PG diploma, 7, 20120702, 145802, CSCHROEDER, A, X, X, , 
MTH301, METHOD OF HISTORY 301, Y, ART, 100223, L, CFA, 000, 000, Y, B, Intermediate Undergraduate, 3, 20120702, 145802, CSCHROEDER, A, X, X, , 
PSTART, POST DOCTORAL RESEARCH FELLOWSHIP, Y, ART, 100223, L, FA, 000, 000, Y, I, Higher Postgraduate, 9, 20120702, 145906, CSCHROEDER, X, X, X, , 
DSL131, INTRO TO SCHOOL LIB & INFO TECH 131, Y, ART, 100229, L, CFA, 000, 000, F, A, Lower Undergraduate; 1 year diploma, 1, 20120702, 124851, CSCHROEDER, M, X, X, , 
DSL141, DOCUMENT DESCRIPTION (DSL 141), Y, ART, 100229, L, CFA, 000, 000, F, A, Lower Undergraduate; 1 year diploma, 1, 20120702, 124851, CSCHROEDER, M, X, X, , 
DSL143, INFORMATION SOURCES 143, Y, ART, 100229, L, CFA, 000, 000, Y, A, Lower Undergraduate; 1 year diploma, 1, 20120702, 124851, CSCHROEDER, M, X, X, , 
DSL144, CATALOGUE AND DATABASE 144, Y, ART, 100229, L, CFA, 000, 000, F, A, Lower Undergraduate; 1 year diploma, 1, 20120702, 124851, CSCHROEDER, M, X, X, , 
DSL152, APPLIED MANAGEMENT (DSL 152), Y, ART, 100229, L, CFA, 000, 000, S, A, Lower Undergraduate; 1 year diploma, 1, 20120702, 124851, CSCHROEDER, M, X, X, , 
DSL162, INFORMATION LITERACY (DSL 162), Y, ART, 100229, L, CFA, 000, 000, S, A, Lower Undergraduate; 1 year diploma, 1, 20120702, 124851, CSCHROEDER, M, X, X, , 
DSL171, CHILDREN'S&YOUTH BOOKS&MEDIA 171, Y, ART, 100229, L, CFA, 000, 000, S, A, Lower Undergraduate; 1 year diploma, 1, 20120702, 124851, CSCHROEDER, M, X, X, , 
DSL174, SCHOOL LIBRARIANSHIP (ICT)174, Y, ART, 100229, L, CFA, 000, 000, Y, A, Lower Undergraduate; 1 year diploma, 1, 20120702, 124851, CSCHROEDER, M, X, X, , 
INF211, INFORMATION SCIENCE 211, Y, ART, 100229, L, CFA, 070, 030, F, B, Intermediate Undergraduate, 2, 20120702, 125622, CSCHROEDER, X, X, X, , 
INF212, INFORMATION SCIENCE 212, Y, ART, 100229, L, CFA, 040, 060, F, B, Intermediate Undergraduate, 2, 20120702, 125622, CSCHROEDER, X, X, X, , 
INF221, INFORMATION SCIENCE 221, Y, ART, 100229, L, CFA, 060, 040, S, B, Intermediate Undergraduate, 2, 20120703, 154732, CSCHROEDER, X, X, X, , 
INF222, INFORMATION SCIENCE 222, Y, ART, 100229, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 2, 20120702, 125622, CSCHROEDER, X, X, X, , 
INF311, INFORMATION SCIENCE 311, Y, ART, 100229, L, CFA, 050, 050, F, B, Intermediate Undergraduate, 3, 20120702, 125622, CSCHROEDER, X, X, X, , 
INF312, INFORMATION SCIENCE 312, Y, ART, 100229, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 3, 20120702, 125622, CSCHROEDER, X, X, X, , 
INF321, INFORMATION SCIENCE 321, Y, ART, 100229, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 3, 20120702, 125622, CSCHROEDER, X, X, X, , 
INF322, INFORMATION SCIENCE 322, Y, ART, 100229, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 3, 20120702, 125622, CSCHROEDER, X, X, X, , 
INF411, INFORMATION SCIENCE 411, Y, ART, 100229, L, CFA, 000, 000, F, C, Higher Undergraduate, 4, 20120703, 092658, CSCHROEDER, M, X, X, , 
INF412, INFORMATION SCIENCE 412, Y, ART, 100229, L, CFA, 000, 000, F, C, Higher Undergraduate, 4, 20120703, 092700, CSCHROEDER, M, X, X, , 
INF421, INFORMATION SCIENCE 421, Y, ART, 100229, L, CFA, 000, 000, F, C, Higher Undergraduate, 4, 20120702, 125622, CSCHROEDER, A, X, X, , 
INF422, INFORMATION SCIENCE 422, Y, ART, 100229, L, CFA, 000, 000, F, C, Higher Undergraduate, 4, 20120702, 125622, CSCHROEDER, A, X, X, , 
LBS, ORGANISATIONAL MANAGEMENT 701, N, ART, 100229, L, CFA, 000, 000, Y, E, Lower Postgraduate, 7, 20111108, 145230, CBENJAMIN, X, X, X, , 
LBS701, ORGANISATIONAL MANAGEMENT 701, Y, ART, 100229, L, CFA, 000, 000, F, E, Lower Postgraduate, 7, 20120702, 125859, CSCHROEDER, A, X, X, , 
LBS702, DOC DESC & SUBJ ANALYSIS (DDSA) 702, Y, ART, 100229, L, CA, 100, 000, Y, E, Lower Postgraduate, 7, 20120702, 125859, CSCHROEDER, A, X, X, , 
LBS703, COLLECTION MANAGEMENT 703, Y, ART, 100229, L, CFA, 000, 000, F, E, Lower Postgraduate, 7, 20120702, 125859, CSCHROEDER, A, X, X, , 
LBS704, HISTORY & PHILOSOPHY OF LIS 704, Y, ART, 100229, L, CFA, 000, 000, F, E, Lower Postgraduate, 7, 20120703, 145402, CSCHROEDER, M, X, X, , 
LBS705, INFORMATION SERVICES 705, Y, ART, 100229, L, CFA, 000, 000, F, E, Lower Postgraduate, 7, 20120703, 092744, CSCHROEDER, M, X, X, , 
LBS706, USER STUDIES 706, Y, ART, 100229, L, CFA, 000, 000, F, E, Lower Postgraduate, 7, 20120702, 125859, CSCHROEDER, A, X, X, , 
LBS707, INFORMATION LITERACY EDUCATION 707, Y, ART, 100229, L, CFA, 000, 000, F, E, Lower Postgraduate, 7, 20120702, 125859, CSCHROEDER, A, X, X, , 
LBS708, ICT APPLICATIONS IN LIS 708, Y, ART, 100229, L, CFA, 000, 000, F, E, Lower Postgraduate, 7, 20120702, 125859, CSCHROEDER, A, X, X, , 
LBS709, FIELDWORK 709, Y, ART, 100229, L, CFA, 000, 000, F, E, Lower Postgraduate, 7, 20120702, 125859, CSCHROEDER, A, X, X, , 
LBS710, LITERATURE STUDIES 710, Y, ART, 100229, L, CFA, 000, 000, F, E, Lower Postgraduate, 7, 20120702, 125859, CSCHROEDER, A, X, X, , 
LBS711, INFORMATION MANAGEMENT 711, Y, ART, 100229, L, CFA, 000, 000, F, E, Lower Postgraduate, 7, 20120702, 125859, CSCHROEDER, A, X, X, , 
LBS712, ARCHIVES & RECORD MANAGEMENT 712, Y, ART, 100229, L, CFA, 000, 000, F, E, Lower Postgraduate, 7, 20120702, 125859, CSCHROEDER, A, X, X, , 
LIB111, LIBRARY SCIENCE 111 (N), Y, ART, 100229, L, CFA, 050, 050, F, B, Intermediate Undergraduate, 1, 20120702, 125925, CSCHROEDER, X, X, X, , 
LIB121, LIBRARY SCIENCE 121 (N), Y, ART, 100229, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 1, 20120702, 125925, CSCHROEDER, X, X, X, , 
LIB211, LIBRARY SCIENCE 211, Y, ART, 100229, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 2, 20120703, 151243, ADANIELS, X, X, X, , 
LIB212, LIBRARY SCIENCE 212, Y, ART, 100229, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 2, 20120703, 151253, ADANIELS, X, X, X, , 
LIB221, LIBRARY SCIENCE 221, Y, ART, 100229, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 2, 20120703, 151300, ADANIELS, X, X, X, , 
LIB222, LIBRARY SCIENCE 222, Y, ART, 100229, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 2, 20120703, 154754, CSCHROEDER, X, X, X, , 
LIB311, LIBRARY SCIENCE 311, Y, ART, 100229, L, CFA, 050, 050, F, B, Intermediate Undergraduate, 3, 20120702, 130222, CSCHROEDER, X, X, X, , 
LIB312, LIBRARY SCIENCE 312, Y, ART, 100229, L, CFA, 050, 050, F, B, Intermediate Undergraduate, 3, 20120702, 130222, CSCHROEDER, X, X, X, , 
LIB321, LIBRARY SCIENCE 321, Y, ART, 100229, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 3, 20120702, 130222, CSCHROEDER, X, X, X, , 
LIB322, LIBRARY SCIENCE 322, Y, ART, 100229, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 3, 20120702, 130222, CSCHROEDER, X, X, X, , 
LIB336, LIBRARY SCIENCE 321 (ED), N, ART, 100229, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 3, 20110818, 123856, BBENJAMIN, X, X, , , 
LIB411, LIBRARY SCIENCE 411, Y, ART, 100229, L, CFA, 050, 050, F, C, Higher Undergraduate, 4, 20120703, 154805, CSCHROEDER, M, X, X, , 
LIB412, LIBRARY SCIENCE 412, Y, ART, 100229, L, CFA, 050, 050, F, C, Higher Undergraduate, 4, 20120703, 154805, CSCHROEDER, M, X, X, , 
LIB421, LIBRARY SCIENCE 421, Y, ART, 100229, L, CFA, 000, 000, S, C, Higher Undergraduate, 4, 20120703, 154805, CSCHROEDER, A, X, X, , 
LIB422, LIBRARY SCIENCE 422, Y, ART, 100229, L, CFA, 020, 080, S, C, Higher Undergraduate, 4, 20120703, 154805, CSCHROEDER, A, X, X, , 
LIB424, LIBRARY SCIENCE 424, Y, ART, 100229, L, CFA, 050, 050, S, C, Higher Undergraduate, 4, 20120703, 154805, CSCHROEDER, A, X, X, , 
LIB425, LIBRARY SCIENCE 425, Y, ART, 100229, L, CFA, 060, 040, S, C, Higher Undergraduate, 4, 20120703, 154805, CSCHROEDER, A, X, X, , 
LIB801, LIBRARY SCIENCE MAG THESIS 801, Y, ART, 100229, H, FA, 000, 000, Y, G, Intermediate PG (Research), 8, 20120702, 130222, CSCHROEDER, X, X, X, , 
LIB802, LIBRARY SCIENCE MAG THESIS 802, Y, ART, 100229, H, FA, 000, 000, Y, G, Intermediate PG (Research), 8, 20120702, 130222, CSCHROEDER, X, X, X, , 
LIB803, LIBRARY SC MINI THESIS 803, Y, ART, 100229, H, FA, 000, 000, Y, G, Intermediate PG (Research), 8, 20120702, 130222, CSCHROEDER, X, X, X, , 
LIB804, LIB SC : MINI THESIS   804, Y, ART, 100229, H, FA, 000, 000, Y, G, Intermediate PG (Research), 8, 20120702, 130222, CSCHROEDER, X, X, X, , 
LIB844, LIB SC 844 : RESEARCH PROJECT, N, ART, 100229, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20110818, 123856, BBENJAMIN, X, X, , , 
LIB901, LIBRARY SC DOCTORAL  901, Y, ART, 100229, H, FA, 000, 000, Y, I, Higher Postgraduate, 9, 20120702, 130222, CSCHROEDER, X, X, X, , 
LIB902, LIBRARY SC DOCTORAL  902, Y, ART, 100229, H, FA, 000, 000, Y, I, Higher Postgraduate, 9, 20120702, 130222, CSCHROEDER, X, X, X, , 
LIS812, RESEARCH METHODS IN LIS, Y, ART, 100229, L, CFA, 050, 050, F, F, Intermediate PG (Non research), 8, 20120702, 130322, CSCHROEDER, A, X, X, , 
LIS813, LIS MANAGEMENT, Y, ART, 100229, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20120703, 092803, CSCHROEDER, M, X, X, , 
LIS814, INTRO TO KNOWLEDGE MANAGEMENT, Y, ART, 100229, L, CFA, 050, 050, F, F, Intermediate PG (Non research), 8, 20120702, 145802, CSCHROEDER, A, X, X, , 
LIS815, KM PROCESSES & TOOLS, Y, ART, 100229, L, CFA, 050, 050, Y, F, Intermediate PG (Non research), 8, 20120702, 145802, CSCHROEDER, A, X, X, , 
LIS816, INDEXING & THESAURUS CONSTRUCTION, Y, ART, 100229, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20120702, 145802, CSCHROEDER, A, X, X, , 
LIS817, RECORDS & ARCHIVES MANAGEMENT, Y, ART, 100229, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20120702, 145802, CSCHROEDER, A, X, X, , 
LIS818, PROJECT MANAGEMENT, Y, ART, 100229, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20120702, 145802, CSCHROEDER, A, X, X, , 
LIS819, INFORMATION BEHAVIOUR, Y, ART, 100229, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20120702, 145802, CSCHROEDER, A, X, X, , 
LIS820, TOWARDS KNOWLEDGE & SOCIETY, Y, ART, 100229, L, CFA, 060, 040, Y, F, Intermediate PG (Non research), 8, 20120702, 145802, CSCHROEDER, A, X, X, , 
LIS821, ICT TRENDS & APPLICATIONS IN LIS, Y, ART, 100229, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20120702, 145802, CSCHROEDER, A, X, X, , 
LCS111, LANGUAGE & COMM STUDIES 111 (N), Y, ART, 100231, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 1, 20120702, 150607, CSCHROEDER, X, X, X, , 
LCS121, LANGUAGE & COMM STUDIES 121 (N), Y, ART, 100231, L, CFA, 060, 040, S, B, Intermediate Undergraduate, 1, 20120703, 154754, CSCHROEDER, X, X, X, , 
LCS131, LANGUAGE & COMMUNICATION 131, N, ART, 100231, L, CFA, 000, 000, F, B, Intermediate Undergraduate, 1, 20111019, 153207, NSTEVENS, X, X, X, , 
LCS132, LANGUAGE & COMMUNICATION 132, N, ART, 100231, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 1, 20111019, 153219, NSTEVENS, X, X, X, , 
LCS211, LANGUAGE & COMM STUDIES 211, Y, ART, 100231, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 2, 20111102, 103441, SNITSCKIE, X, X, X, , 
LCS212, LANGUAGE & COMM STUDIES 212, Y, ART, 100231, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 2, 20111102, 103452, SNITSCKIE, X, X, X, , 
LCS213, LANGUAGE & COMM STUDIES 213, Y, ART, 100231, L, CFA, 060, 040, S, B, Intermediate Undergraduate, 2, 20120123, 110738, ADANIELS, X, X, X, , 
LCS221, LANGUAGE & COMM STUDIES 221, Y, ART, 100231, L, CFA, 060, 040, S, B, Intermediate Undergraduate, 2, 20120123, 110753, ADANIELS, X, X, X, , 
LCS222, LANGUAGE & COMM STUDIES 222, Y, ART, 100231, L, CFA, 060, 040, S, B, Intermediate Undergraduate, 2, 20120123, 110800, ADANIELS, X, X, X, , 
LCS223, LANGUAGE & COMM STUDIES 223, Y, ART, 100231, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 2, 20120702, 125925, CSCHROEDER, X, X, X, , 
LCS311, LANGUAGE & COMM STUDIES 311, Y, ART, 100231, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 3, 20120703, 154754, CSCHROEDER, M, X, X, , 
LCS312, LANGUAGE & COMM STUDIES 312, Y, ART, 100231, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 3, 20120703, 154754, CSCHROEDER, M, X, X, , 
LCS313, LANGUAGE & COMM STUDIES 313, Y, ART, 100231, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 3, 20120703, 154754, CSCHROEDER, M, X, X, , 
LCS314, LANGUAGE & COMM STUDIES 314, Y, ART, 100231, L, CFA, 060, 040, S, B, Intermediate Undergraduate, 3, 20120703, 154754, CSCHROEDER, A, X, X, , 
LCS321, LANGUAGE & COMM STUDIES 321, Y, ART, 100231, L, CFA, 060, 040, S, B, Intermediate Undergraduate, 3, 20120703, 154754, CSCHROEDER, A, X, X, , 
LCS323, LANGUAGE & COMM STUDIES 323, Y, ART, 100231, L, CFA, 060, 040, S, B, Intermediate Undergraduate, 3, 20120703, 154754, CSCHROEDER, A, X, X, , 
LCS325, LANGUAGE & COMM STUDIES 325, Y, ART, 100231, L, CFA, 060, 040, S, B, Intermediate Undergraduate, 3, 20120703, 154754, CSCHROEDER, A, X, X, , 
LIN730, LINGUISTICS 730 : RESEARCH ESSAY, Y, ART, 100231, L, FA, 000, 000, Y, E, Lower Postgraduate, 7, 20120703, 093203, CSCHROEDER, M, X, X, , 
LIN731, LINGUISTICS 731 : BUS & ORG COMMUNC, Y, ART, 100231, L, CFA, 050, 050, F, E, Lower Postgraduate, 7, 20120713, 091104, MLEMBOE, M, X, X, , 
LIN732, LINGUISTICS 732 : INTER & C/C COMM, Y, ART, 100231, L, CFA, 000, 000, S, E, Lower Postgraduate, 7, 20120702, 130222, CSCHROEDER, A, X, X, , 
LIN735, LINGUISTICS 735 : MULTILINGUALISM, Y, ART, 100231, L, CFA, 050, 050, F, E, Lower Postgraduate, 7, 20120711, 162055, CSCHROEDER, M, X, X, , 
LIN736, LINGUISTICS 736 : MULTILINGUAL EDUC, Y, ART, 100231, L, CFA, 000, 000, S, E, Lower Postgraduate, 7, 20120702, 130322, CSCHROEDER, A, X, X, , 
LIN737, LINGUISTICS 737 : FORMAL LANG STUDY, Y, ART, 100231, L, CFA, 050, 050, F, E, Lower Postgraduate, 7, 20120703, 092952, CSCHROEDER, M, X, X, , 
LIN741, LINGUISTICS 741 : CRITIC MEDIA STUD, Y, ART, 100231, L, CFA, 000, 000, S, E, Lower Postgraduate, 7, 20120702, 130322, CSCHROEDER, A, X, X, , 
LIN743, LINGUISTICS 743 : LITERACY STUDIES, N, ART, 100231, L, CFA, 000, 000, Y, E, Lower Postgraduate, 7, 20110920, 090031, NSTEVENS, M, X, , , 
LIN744, LINGUISTICS 744 : DISCOURSE ANALYS, Y, ART, 100231, L, CFA, 000, 000, S, E, Lower Postgraduate, 7, 20120702, 130322, CSCHROEDER, A, X, X, , 
LIN745, LINGUISTICS 745 : SOCIOLINGUISTICS, N, ART, 100231, L, CFA, 000, 000, Y, E, Lower Postgraduate, 7, 20110920, 090049, NSTEVENS, M, X, , , 
LIN746, LINGUISTICS 746 : COMMUNIC STUDIES, N, ART, 100231, L, CFA, 000, 000, Y, E, Lower Postgraduate, 7, 20110920, 090103, NSTEVENS, M, X, , , 
LIN747, LINGUISTICS 747 : FIRST/SEC LANG AC, N, ART, 100231, L, CFA, 000, 000, Y, E, Lower Postgraduate, 7, 20110920, 090122, NSTEVENS, M, X, , , 
LIN748, LINGUISTICS 748: URBAN SEMIOTICS, N, ART, 100231, L, CFA, 000, 000, Y, E, Lower Postgraduate, 7, 20111019, 153240, NSTEVENS, M, X, X, , 
LIN749, LINGUISTICS 749: MUILTILINGUALISM, N, ART, 100231, L, CFA, 000, 000, Y, E, Lower Postgraduate, 7, 20111019, 153253, NSTEVENS, M, X, X, , 
LIN801, LINGUISTICS MAG THESIS 801, Y, ART, 100231, H, FA, 000, 000, Y, G, Intermediate PG (Research), 8, 20120702, 130322, CSCHROEDER, X, X, X, , 
LIN802, LINGUISTICS MAG THESIS  802, Y, ART, 100231, H, FA, 000, 000, Y, G, Intermediate PG (Research), 8, 20120702, 130322, CSCHROEDER, X, X, X, , 
LIN803, LINGUISTICS  MINITHESIS 803, Y, ART, 100231, H, FA, 000, 000, Y, G, Intermediate PG (Research), 8, 20120702, 130322, CSCHROEDER, X, X, X, , 
LIN804, LINGUIST  MINI THESIS 804, Y, ART, 100231, H, FA, 000, 000, Y, G, Intermediate PG (Research), 8, 20120702, 130322, CSCHROEDER, X, X, X, , 
LIN811, LINGUISTICS 811 : RES METHOD & PROP, Y, ART, 100231, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20120702, 130322, CSCHROEDER, A, X, X, , 
LIN814, LINGUISTICS 814 : LANG ACQ STUDIES, N, ART, 100231, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20110920, 090616, NSTEVENS, M, X, , , 
LIN831, LINGUISTICS 831 : BUS & ORG COMMUNC, Y, ART, 100231, L, CFA, 050, 050, F, F, Intermediate PG (Non research), 8, 20120702, 130322, CSCHROEDER, A, X, X, , 
LIN832, LINGUISTICS 832 : INTER & C/C COMM, Y, ART, 100231, L, CFA, 000, 000, S, F, Intermediate PG (Non research), 8, 20120702, 130322, CSCHROEDER, A, X, X, , 
LIN834, LINGUISTICS 834 : LANG & CURRICULUM, N, ART, 100231, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20110920, 090634, NSTEVENS, M, X, , , 
LIN835, LINGUISTICS 835 : MULTILINGUALISM, Y, ART, 100231, L, CFA, 050, 050, F, F, Intermediate PG (Non research), 8, 20120702, 130322, CSCHROEDER, A, X, X, , 
LIN836, LINGUISTICS 836 : MULTILINGUAL EDUC, Y, ART, 100231, L, CFA, 000, 000, S, F, Intermediate PG (Non research), 8, 20120702, 130322, CSCHROEDER, A, X, X, , 
LIN837, LINGUISTICS 837 : FORMAL LANG STUDY, Y, ART, 100231, L, CFA, 050, 050, F, F, Intermediate PG (Non research), 8, 20120702, 130322, CSCHROEDER, A, X, X, , 
LIN838, LINGUISTICS 838 : LANG CONT & W/ENG, N, ART, 100231, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 7, 20110920, 090556, NSTEVENS, M, X, , , 
LIN839, LINGUISTICS 839 : CLIN-/PSYCH LING, N, ART, 100231, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20110920, 090649, NSTEVENS, M, X, , , 
LIN841, LINGUISTICS 841 : CRITIC MEDIA STUD, Y, ART, 100231, L, CFA, 000, 000, S, F, Intermediate PG (Non research), 8, 20120702, 130322, CSCHROEDER, A, X, X, , 
LIN844, LINGUISTICS 844 : DISCOURSE ANALYS, Y, ART, 100231, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20120702, 130322, CSCHROEDER, A, X, X, , 
LIN845, LINGUISTICS 845 : SOCIOLINGUISTICS, N, ART, 100231, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20110920, 090701, NSTEVENS, M, X, , , 
LIN846, LINGUISTICS 846: URBAN SEMIOTICS, N, ART, 100231, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20111019, 153306, NSTEVENS, M, X, X, , 
LIN847, LINGUISTICS 847: MULTILINGUALISM, N, ART, 100231, L, CFA, 000, 000, Y, F, Intermediate PG (Non research), 8, 20111019, 153320, NSTEVENS, M, X, X, , 
LIN901, LINGUISTICS (DOCTORAL) 1ST ENR 901, Y, ART, 100231, H, FA, 000, 000, Y, I, Higher Postgraduate, 9, 20120702, 130322, CSCHROEDER, X, X, X, , 
LIN902, LINGUISTICS (DOCTORAL) 2ND ENR 902, Y, ART, 100231, H, FA, 000, 000, Y, I, Higher Postgraduate, 9, 20120702, 130322, CSCHROEDER, X, X, X, , 
PHI111, PHILOSOPHY 111, Y, ART, 100237, L, CFA, 000, 000, F, B, Intermediate Undergraduate, 1, 20120702, 145802, CSCHROEDER, X, X, X, , 
PHI121, PHILOSOPHY 121, Y, ART, 100237, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 1, 20120702, 145906, CSCHROEDER, X, X, X, , 
PHI211, PHILOSOPHY 211, Y, ART, 100237, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 2, 20120702, 145906, CSCHROEDER, X, X, X, , 
PHI212, PHILOSOPHY 212, Y, ART, 100237, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 2, 20120702, 145906, CSCHROEDER, X, X, X, , 
PHI221, PHILOSOPHY 221, Y, ART, 100237, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 2, 20120702, 145906, CSCHROEDER, X, X, X, , 
PHI222, PHILOSOPHY 222, Y, ART, 100237, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 2, 20120702, 145906, CSCHROEDER, X, X, X, , 
PHI311, PHILOSOPHY 311, Y, ART, 100237, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 3, 20120703, 154819, CSCHROEDER, M, X, X, , 
PHI312, PHILOSOPHY 312, Y, ART, 100237, L, CFA, 060, 040, F, B, Intermediate Undergraduate, 3, 20120703, 154819, CSCHROEDER, M, X, X, , 
PHI321, PHILOSOPHY 321, Y, ART, 100237, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 3, 20120703, 154819, CSCHROEDER, A, X, X, , 
PHI322, PHILOSOPHY 322, Y, ART, 100237, L, CFA, 000, 000, S, B, Intermediate Undergraduate, 3, 20120703, 154819, CSCHROEDER, A, X, X, , 
PHI701, PHILOSOPHY 701 : RESEARCH ESSAY, Y, ART, 100237, L, FA, 000, 000, Y, E, Lower Postgraduate, 7, 20120702, 145906, CSCHROEDER, A, X, X, , 
PHI731, PHILOSOPHY 731: NATURE & SOCIETY, Y, ART, 100237, L, FA, 000, 100, F, E, Lower Postgraduate, 7, 20120702, 145906, CSCHROEDER, A, X, X, , 
